ConnectionStatus,Connection,Display name,Cash value,Net liquidation,Gross realized PnL,Realized PnL,Unrealized PnL,Total PnL,Trailing max drawdown,Close,
Connected,TakeProfitTrader,TAKEPROFIT955834354,25000,25000,0,0,0,0,1500,,
Connected,TakeProfitTrader,TAKEPROFIT768841826,49478,49478,0,0,0,0,1478,,
Connected,TakeProfitTrader,TAKEPROFIT511405298,49478,49478,0,0,0,0,1478,,
Connected,Apex Tradovate,Sim104,38366,38366,0,0,0,0,0,,
Connected,Apex Tradovate,Sim101,51585,51585,0,0,0,0,0,,
Connected,Apex Tradovate,PAAPEX3982600000030,50812.6,50812.6,0,0,0,0,2498.45,,
Connected,Apex Tradovate,PAAPEX3982600000029,49592.84,49592.84,0,0,0,0,1869.96,,
Connected,Apex Tradovate,PAAPEX3982600000028,49620.34,49620.34,0,0,0,0,1869.96,,
Connected,Apex Tradovate,PAAPEX3982600000027,48918.54,48918.54,0,0,0,0,1290.09,,
Connected,Apex Tradovate,PAAPEX3982600000025,49210.48,49210.48,0,0,0,0,929.730000000003,,
Connected,Apex Tradovate,PAAPEX3982600000021,50266.78,50266.78,0,0,0,0,1886.96,,
Connected,Apex Tradovate,PAAPEX3982600000019,51169.82,51169.82,0,0,0,0,1901.14,,
Connected,Apex Tradovate,PAAPEX3982600000016,50908.520000001,50908.520000001,0,0,0,0,1830.580000001,,
Connected,Apex Tradovate,PAAPEX3982600000015,51017.620000001,51017.620000001,0,0,0,0,1784.900000001,,
Connected,Apex Tradovate,PAAPEX3982600000012,51196.960000001,51196.960000001,0,0,0,0,1887.960000001,,
Connected,Apex Tradovate,PAAPEX3982600000011,50980.68,50980.68,0,0,0,0,497.300000000003,,
Connected,Apex Tradovate,PAAPEX3982600000010,50059.38,50059.38,0,0,0,0,1372.28,,
Connected,Apex Tradovate,PAAPEX3982600000009,51915.36,51915.36,0,0,0,0,2051.9,,
Connected,Apex Tradovate,PAAPEX3982600000008,51011.720000001,51011.720000001,0,0,0,0,1824.420000001,,
Connected,Apex Tradovate,PAAPEX3982600000007,50591.380000001,50591.380000001,0,0,0,0,1410.880000001,,
Connected,Apex Tradovate,PAAPEX3982600000005,52196.060000001,52196.060000001,0,0,0,0,2209.880000001,,
Connected,Apex Tradovate,PAAPEX3982600000004,49766.68,49766.68,0,0,0,0,617.720000000001,,
Connected,Bulenox Rithmic,BX-M90712121752!Bulenox!Bulenox,48725.8,48725.8,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX-M90712121751!Bulenox!Bulenox,49601.84,49601.84,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX90712-13!Bulenox!Bulenox,49270.74,49270.74,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX90712-12!Bulenox!Bulenox,47258.4,47258.4,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX90712-11!Bulenox!Bulenox,47363.28,47363.28,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX90712-10!Bulenox!Bulenox,50087.38,50087.38,0,0,0,0,0,,
Connected,Bulenox Rithmic,BX90712-09!Bulenox!Bulenox,48114.44,48114.44,0,0,0,0,0,,
Connected,Apex Tradovate,APEX3982600000082,53005.3,53005.3,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000079,53069,53069,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000077,53069,53069,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000076,53069,53069,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000074,53069,53069,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000072,53069,53069,0,0,0,0,2500,,
Connected,Apex Tradovate,APEX3982600000069,53069,53069,0,0,0,0,2500,,
